"","text","emotion","polarity"
"283","twplane crash

a tragedy in the first month ofeveryone lets have a moment and send all prayers to the crews and pa…","neutral","neutral"
"284","rudder hard over or an unlocked thrust reverser sj","neutral","negative"
"285","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…","neutral","positive"
"286","sj cinulangs landslides south kalimantans flooding and west sulawesis earthquake it’s still january th for god’s sake","neutral","positive"
"287","awesome graphics that give me shivers

flight sj the search for answers","neutral","neutral"
"288","<U+26A1><U+FE0F> “the search for answers on sriwijaya air flight sj” by","neutral","negative"
"289","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"290","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…","neutral","positive"
"291","i was not afraid to fly untilwhen i started watching videos on airline disaster investigations after watchin…","fear","negative"
"292","you need a mealprer mealpreps food restaurant or foodservice bbq cafelogo 

…","neutral","negative"
"293","you need a mealprer mealpreps food restaurant or foodservice bbq cafelogo 

…","neutral","negative"
"294","flight sj knkt downloads data from flight data recordernews","neutral","negative"
"295","often called black boxes the bright orange recorders are designed to survive a crash intact and provide investigators w…","neutral","positive"
"296","<U+26A1><U+FE0F> “the search for answers on sriwijaya air flight sj” by","neutral","negative"
"297","knkt  both of sj’s engines were running at time of impact seemingly ruling out engine failure as a contributing fac…","neutral","negative"
"298","knkt  both of sj’s engines were running at time of impact seemingly ruling out engine failure as a contribu…","neutral","negative"
"299","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"300","<U+0001F9ED>the search for answers on sriwijayaair boeing flight sjjakarta mh mh","neutral","negative"
"301","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"302","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"303","<U+203C><U+FE0F>important<U+203C><U+FE0F>

please if you see any of pict or video if the victims sriwijaya air plane crash do not share picts and…","joy","positive"
"304","the search for answers on sriwijaya air flight sj","neutral","negative"
"305","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"306","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"307","twplane crash

the hashtag party for the release of force will be cancelled to pay respect to the recent plane crash…","joy","neutral"
"308","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"309","with no explanation as to why sriwijayaair sj plunged into the seadivers are searching cockpit voice recorder…","neutral","positive"
"310","twplane crash

thread about what’s happening with tragedy sj cuz most of my tl arent aware of this …","neutral","negative"
"311","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene","neutral","positive"
"312","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…","neutral","positive"
"313","the search for answers on sriwijaya air flight sj","neutral","negative"
"314","the search for answers on sriwijaya air flight sj","neutral","negative"
"315","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…","neutral","neutral"
"316","sj dan bencana indonesia
sumedang longsor
kalsel banjir
majene gempa
meglang erupsi merapi

get well soon earth g…","anger","negative"
"317","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…","joy","neutral"
"318","that jacket <U+0001F494><U+0001F62D> sriwijayaair sj","neutral","positive"
"319","and because of wfh and i dont do much at home its been a week i crave the sj news ive never seen this many…","neutral","positive"
"320","twplane crash

 anitwt lets have a moment and send our prayers to the passengers and crew as well as our deepest cond…","neutral","positive"
"321","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"322","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"323","another young soul <U+0001F61E>may the victims rest in eternal peace <U+0001F64F> <U+0001F64F> <U+0001F64F> 
sjy sj","neutral","neutral"
"324","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…","neutral","neutral"
"325","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"326","<U+0001F1EE><U+0001F1E9> flight sj <U+0001F1EE><U+0001F1E9>

black box data downloaded

<U+0001F4E2> rt sriwijayaair sj","neutral","negative"
"327","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"328","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…","neutral","positive"
"329","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"330","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"331","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"332","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"333","this beginning of a very tough year
floods and landslides occured in several areas last week sjcrashed ye…","neutral","negative"
"334","in behalf of cexol<U+0001F352>we would like to send our prayers and condolences about the recent incident happen to sriwijaya air…","joy","neutral"
"335","indonesia 

some thoughts on the most recent tragic indonesian plane crash sj in segmentof today’s…","neutral","negative"
"336","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"337","that jacket <U+0001F494><U+0001F62D> sriwijayaair sj","neutral","positive"
"338","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"339","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"340","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"341","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…","joy","negative"
"342","we have to find allpeople says rescue commander involved in sriwijaya air recovery mission …","neutral","neutral"
"343","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"344","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…","neutral","negative"
"345","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"346","flight sj the search for answers","neutral","negative"
"347","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"348","indonesia 

afp data recovered from crashed sriwijaya air jets flight recorder divers continue search for cockp…","neutral","negative"
"349","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"350","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"351","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"352","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"353","sending all prayers to sriwijaya air sj including the passengers crews and their family <U+0001F64F><U+0001F3FB>","neutral","negative"
"354","indonesian divers have found sriwijaya air boeingwreckage at a depth ofmetersfeet in java sea sj htt…","neutral","neutral"
"355","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"356","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"357","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"358","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"359","the most heartbreaking picture from sj <U+0001F494>

sriwijayaair boeing indonesia planecrash avgeek aviation ripsj p…","sadness","neutral"
"360","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"361","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"362","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"363","truly saddened by the news sending my deepest condolences to the victims amp their families sj <U+0001F940>","neutral","neutral"
"364","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"365","flight sj the search for answers","neutral","negative"
"366","sriwijaya air flight sj the search for answers","neutral","negative"
"367","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"368","total ofvictims of flight sj have been identified","neutral","negative"
"369","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"370","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"371","closing friday with heavy heart <U+0001F494>

sj plane crashed jakarta
landslide w dozens buried w java
massive flood sout…","joy","positive"
"372","indonesian investigators have successfully recovered data from a crashed passenger jets flight recorder days afte…","neutral","negative"
"373","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"374","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…","neutral","negative"
"375","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"376","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"377","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"378","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"379","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"380","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"381","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj","neutral","negative"
"382","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"383","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"384","sriwijaya air flight sj lost more thanfeet of altitude in less than one minute aboutminutes after depart…","neutral","negative"
"385","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"386","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"387","sending my prayers and love to all of indonesia<U+2764><U+FE0F><U+0001F64F><U+0001F3FB> i hope everythings okay<U+2764><U+FE0F> sj","joy","positive"
"388","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake…","neutral","positive"
"389","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"390","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"391","never late to say deep condolences for all victim and family sriwijaya air sj 

rest in peace…","neutral","negative"
"392","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"393","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"394","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"395","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"396","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"397","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"398","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"399","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"400","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"401","indonesian officials have successfully downloaded data from the flightdata recorder fdr of the sriwijaya air boeing …","neutral","neutral"
"402","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"403","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"404","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"405","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"406","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"407","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"408","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"409","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"410","earlier today divers recovered the flight data recorder from sj and transferred it to investigators for read out w…","neutral","negative"
"411","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"412","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"413","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"414","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earth…","neutral","positive"
"415","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"416","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…","neutral","positive"
"417","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it…","neutral","positive"
"418","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…","neutral","neutral"
"419","i know this is so hard but trust with the almighty we can through everything this is just the beginning we are still…","neutral","positive"
"420","praying for sj that took off from jakarta indonesia earlier may the almighty grant safety to one and all aameen
bo…","neutral","positive"
"421","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"422","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"423","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…","neutral","negative"
"424","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…","joy","positive"
"425","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"426","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…","joy","positive"
"427","heybe nice year for us please<U+0001F64F>

prayforkalsel prayforsumedang prayforsulbar sj prayforindonesia","neutral","positive"
"428","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers…","joy","positive"
"429","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"430","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"431","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"432","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…","neutral","negative"
"433","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"434","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"435","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"436","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"437","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"438","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"439","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"440","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"441","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"442","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…","joy","neutral"
"443","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"444","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"445","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earth…","neutral","positive"
"446","<U+0001F940>pray for sj<U+0001F940>

i do believe
that some people 
sense when they’re going to die

however
im sure that there mus…","neutral","positive"
"447","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"448","we allbrightvc would like to express our deepest condolences to all those who have lost loved one’s by the tragedy of sri…","joy","negative"
"449","heres everything you need to know about the underwater recovery operations for flight sj in the java sea","neutral","negative"
"450","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…","neutral","neutral"
"451","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"452","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"453","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"454","hi guys how r u
firstly i’d love to say my deep condolences for all of the victims <U+0001F940>

its earlydunno wh…","joy","negative"
"455","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"456","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"457","we allbrightvc would like to express our deepest condolences to all those who have lost loved one’s by the tragedy of sri…","joy","negative"
"458","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"459","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"460","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"461","sends a lot of prays to my country i know it’s hard sad and devastating but we have to keep strong and keep sane…","sadness","negative"
"462","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"463","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"464","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"465","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"466","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"467","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"468","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"469","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"470","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"471","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"472","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"473","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"474","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"475","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"476","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"477","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"478","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away fr…","joy","positive"
"479","recovered black box from sriwijaya air flight sj identified as the flight data recorder analysis is expected to tak…","neutral","negative"
"480","our heart goes out to all the passengers and crew of sj as well as their respective families and friends our deepes…","joy","positive"
"481","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"482","justweeks intoyet its been bad so far were stuck in what seems like a neverending pandemic covid cas…","joy","neutral"
"483","pageof 

co still in high casecase today plane crash sj lost big ulama syekh ali jaber hu…","anger","negative"
"484","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene","neutral","positive"
"485","pageof 

co still in high casecase today plane crash sj lost big ulama syekh ali…","anger","negative"
"486","twplane crash

hello so this is the donation link that i just found to help the victims and those who are affected b…","neutral","positive"
"487","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"488","full on youtube 
noahbandsahabatnoaharielnoah treasure icon blankpink btsarmy…","neutral","positive"
"489","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…","neutral","neutral"
"490","lets hope the cvr sheds me light on what sent these poor people to their deaths on board flight sj","sadness","negative"
"491","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"492","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…","joy","negative"
"493","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…","joy","negative"
"494","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…","joy","negative"
"495","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"496","sj dan bencana indonesia
sumedang longsor
kalsel banjir
majene gempa
meglang erupsi merapi

get well soon earth g…","anger","negative"
"497","breaking down what happened to sriwijaya air flight sj four minutes after takeoff catastrophe struck
…","neutral","negative"
"498","indonesia finds casing of crashed sriwijayaair jets cockpit recordersj","neutral","positive"
"499","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"500","sriwijaya sjjakarta
jan
lost height and impacted java sea

cvr memory storage box found by the sa…","neutral","negative"
"501","twplane crash 

for anyone that doesnt know a plane crashed in indonesia plane sj my deepest condolences to everyo…","neutral","neutral"
"502","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"503","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"504","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"505","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"506","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …","neutral","negative"
"507","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"508","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …","neutral","negative"
"509","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …","neutral","negative"
"510","breaking down what happened to sriwijaya air flight sj four minutes after takeoff catastrophe struck
…","neutral","negative"
"511","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …","neutral","negative"
"512","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene","neutral","positive"
"513","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …","neutral","negative"
"514","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…","neutral","negative"
"515","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"516","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"517","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"518","sriwijaya air flight sj lost more thanfeet of altitude in less than one minute aboutminutes after depart…","neutral","negative"
"519","sriwijaya air flight sj lost more thanfeet of altitude in less than one minute aboutminutes after depart…","neutral","negative"
"520","cctv captures pushback of sriwijaya air flight sj moments before disappearing from radarht…","neutral","negative"
"521","twplane crash

thread about what’s happening with tragedy sj cuz most of my tl arent aware of this …","neutral","negative"
"522","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…","joy","neutral"
"523","another angles sj sjy prayforsriwijayaair prayforsj","neutral","positive"
"524","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…","joy","neutral"
"525","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"526","<U+0001F1EE><U+0001F1E9> flight sj <U+0001F1EE><U+0001F1E9>

black box data downloaded

<U+0001F4E2> rt sriwijayaair blackbox","neutral","negative"
"527","i will editing your product photo 


amazon ebayseller photoshopediting billsmafia ishere b…","neutral","positive"
"528","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"529","a pair of pictures have been shared hundreds of times alongside a claim that they show a baby who survived flight…","neutral","neutral"
"530","indonesian officials have successfully downloaded data from the flightdata recorder fdr of the sriwijaya air boe…","neutral","neutral"
"531","to all my indonesian moots please stay safe i know yall are strong everything will be fine my thoughts and pra…","joy","positive"
"532","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"533","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…","joy","negative"
"534","i know this is so hard but trust with the almighty we can through everything this is just the beginning we are…","neutral","positive"
"535","deep condolence for sj majene every disaster in this world all belong to its destiny","joy","negative"
"536","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"537","sriwijaya air crash transportation ministry inspects all boeingaircraft 
breakingnews
asiapacific…","neutral","negative"
"538","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"539","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"540","sj dan bencana indonesia
sumedang longsor
kalsel banjir
majene gempa
meglang erupsi merapi

get well soon ea…","anger","negative"
"541","i am deeply saddened by the loss of lives in sriwijaya air flight sj my prayers are with families of all those pa…","neutral","negative"
