"","text","emotion","polarity"
"64","hey indonesia it would be ok eventually 
we are strong god speed <U+0001F64F>
sj
westjavaavalanche…","sadness","positive"
"65","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"66","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"67","my husbands wife is freaking awesome 
redbubble spreadshirt teepublic teespring graphicarts illustration tshir…","neutral","positive"
"68","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"69","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"70","lets get a moment to pray
indonesia is not good condition 
the beginning ofwe greeted the news about accid…","joy","neutral"
"71","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"72","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"73","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"74","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"75","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"76","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"77","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"78","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"79","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"80","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"81","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"82","i saw your reply to the thread me and the other user were discussing sj in and honestly just d…","neutral","positive"
"83","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"84","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"85","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"86","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"87","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"88","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"89","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"90","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"91","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"92","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"93","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"94","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"95","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"96","makin pelik theories sj ni bcs if nose downhow tf the cvr hancur macamtu","neutral","negative"
"97","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"98","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"99","divers were deployed on the th day of the search mission for flight sj

search mission is focused on six…","neutral","negative"
"100","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"101","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"102","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"103","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"104","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"105","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"106","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…","joy","positive"
"107","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…","joy","positive"
"108","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"109","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"110","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"111","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"112","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"113","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"114","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"115","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"116","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"117","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"118","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"119","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"120","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"121","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"122","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"123","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"124","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"125","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"126","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"127","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"128","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"129","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"130","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"131","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"132","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"133","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"134","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"135","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…","joy","positive"
"136","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"137","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…","joy","positive"
"138","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"139","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"140","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"141","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"142","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"143","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"144","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"145","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"146","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"147","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"148","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"149","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"150","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"151","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"152","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"153","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"154","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"155","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"156","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"157","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"158","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake…","neutral","positive"
"159","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"160","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"161","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"162","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"163","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"164","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"165","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"166","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"167","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"168","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…","joy","positive"
"169","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"170","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"171","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"172","update on sj
black boxes of sriwijayaair flighthave been recovered this is the first milestone in the search…","neutral","negative"
"173","exactly a week ago in memoriam tragedy for sj but still left deepest sadness <U+0001F62D>","sadness","negative"
"174","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"175","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"176","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"177","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"178","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"179","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"180","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"181","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"182","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"183","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"184","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"185","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"186","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"187","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"188","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"189","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"190","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"191","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"192","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"193","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"194","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"195","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"196","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
