"","x"
"328","<U+0001F1EE><U+0001F1E9> flight sj <U+0001F1EE><U+0001F1E9>

black box data downloaded

<U+0001F4E2> rt sriwijayaair sj"
"329","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"330","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…"
"331","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"332","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"333","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"334","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"335","this beginning of a very tough year
floods and landslides occured in several areas last week sjcrashed ye…"
"336","in behalf of cexol<U+0001F352>we would like to send our prayers and condolences about the recent incident happen to sriwijaya air…"
"337","indonesia 

some thoughts on the most recent tragic indonesian plane crash sj in segmentof today’s…"
"338","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"339","that jacket <U+0001F494><U+0001F62D> sriwijayaair sj"
"340","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"341","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"342","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"343","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…"
"344","we have to find allpeople says rescue commander involved in sriwijaya air recovery mission …"
"345","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"346","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…"
"347","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"348","flight sj the search for answers"
"349","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"350","indonesia 

afp data recovered from crashed sriwijaya air jets flight recorder divers continue search for cockp…"
"351","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"352","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"353","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"354","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"355","sending all prayers to sriwijaya air sj including the passengers crews and their family <U+0001F64F><U+0001F3FB>"
"356","indonesian divers have found sriwijaya air boeingwreckage at a depth ofmetersfeet in java sea sj htt…"
"357","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"358","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"359","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"360","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"361","the most heartbreaking picture from sj <U+0001F494>

sriwijayaair boeing indonesia planecrash avgeek aviation ripsj p…"
"362","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"363","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"364","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"365","truly saddened by the news sending my deepest condolences to the victims amp their families sj <U+0001F940>"
"366","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"367","flight sj the search for answers"
"368","sriwijaya air flight sj the search for answers"
"369","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"370","total ofvictims of flight sj have been identified"
"371","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"372","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"373","closing friday with heavy heart <U+0001F494>

sj plane crashed jakarta
landslide w dozens buried w java
massive flood sout…"
"374","indonesian investigators have successfully recovered data from a crashed passenger jets flight recorder days afte…"
"375","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"376","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…"
"377","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"378","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"379","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"380","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"381","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"382","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"383","<U+26A1><U+FE0F> the search for answers on sriwijaya air flight sj"
"384","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"385","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"386","sriwijaya air flight sj lost more thanfeet of altitude in less than one minute aboutminutes after depart…"
"387","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"388","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"389","sending my prayers and love to all of indonesia<U+2764><U+FE0F><U+0001F64F><U+0001F3FB> i hope everythings okay<U+2764><U+FE0F> sj"
"390","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake…"
"391","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"392","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"393","never late to say deep condolences for all victim and family sriwijaya air sj 

rest in peace…"
"394","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"395","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"396","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"397","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"398","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"399","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"400","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"401","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"402","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"403","indonesian officials have successfully downloaded data from the flightdata recorder fdr of the sriwijaya air boeing …"
"404","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"405","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"406","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"407","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"408","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"409","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"410","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"411","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"412","earlier today divers recovered the flight data recorder from sj and transferred it to investigators for read out w…"
"413","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"414","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"415","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"416","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earth…"
"417","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"418","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…"
"419","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it…"
"420","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…"
"421","i know this is so hard but trust with the almighty we can through everything this is just the beginning we are still…"
"422","praying for sj that took off from jakarta indonesia earlier may the almighty grant safety to one and all aameen
bo…"
"423","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"424","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"425","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…"
"426","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…"
"427","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"428","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…"
"429","heybe nice year for us please<U+0001F64F>

prayforkalsel prayforsumedang prayforsulbar sj prayforindonesia"
"430","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers…"
"431","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"432","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"433","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…"
"434","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"435","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"436","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"437","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"438","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"439","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"440","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"441","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"442","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"443","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…"
"444","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"445","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"446","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earth…"
"447","<U+0001F940>pray for sj<U+0001F940>

i do believe
that some people 
sense when they’re going to die

however
im sure that there mus…"
"448","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"449","we allbrightvc would like to express our deepest condolences to all those who have lost loved one’s by the tragedy of sri…"
"450","heres everything you need to know about the underwater recovery operations for flight sj in the java sea"
"451","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…"
"452","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"453","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"454","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"455","hi guys how r u
firstly i’d love to say my deep condolences for all of the victims <U+0001F940>

its earlydunno wh…"
"456","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"457","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"458","we allbrightvc would like to express our deepest condolences to all those who have lost loved one’s by the tragedy of sri…"
"459","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"460","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"461","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"462","sends a lot of prays to my country i know it’s hard sad and devastating but we have to keep strong and keep sane…"
"463","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"464","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"465","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"466","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"467","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"468","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"469","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"470","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"471","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"472","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"473","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"474","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"475","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"476","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"477","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"478","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"479","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away fr…"
"480","recovered black box from sriwijaya air flight sj identified as the flight data recorder analysis is expected to tak…"
"481","our heart goes out to all the passengers and crew of sj as well as their respective families and friends our deepes…"
"482","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"483","justweeks intoyet its been bad so far were stuck in what seems like a neverending pandemic covid cas…"
"484","pageof 

co still in high casecase today plane crash sj lost big ulama syekh ali jaber hu…"
"485","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene"
"486","pageof 

co still in high casecase today plane crash sj lost big ulama syekh ali…"
"487","twplane crash

hello so this is the donation link that i just found to help the victims and those who are affected b…"
"488","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"489","full on youtube 
noahbandsahabatnoaharielnoah treasure icon blankpink btsarmy…"
"490","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…"
"491","lets hope the cvr sheds me light on what sent these poor people to their deaths on board flight sj"
"492","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"493","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…"
"494","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…"
"495","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…"
"496","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"497","sj dan bencana indonesia
sumedang longsor
kalsel banjir
majene gempa
meglang erupsi merapi

get well soon earth g…"
"498","breaking down what happened to sriwijaya air flight sj four minutes after takeoff catastrophe struck
…"
"499","indonesia finds casing of crashed sriwijayaair jets cockpit recordersj"
"500","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"501","sriwijaya sjjakarta
jan
lost height and impacted java sea

cvr memory storage box found by the sa…"
"502","twplane crash 

for anyone that doesnt know a plane crashed in indonesia plane sj my deepest condolences to everyo…"
"503","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"504","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"505","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"506","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"507","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …"
"508","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"509","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …"
"510","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …"
"511","breaking down what happened to sriwijaya air flight sj four minutes after takeoff catastrophe struck
…"
"512","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …"
"513","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene"
"514","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair duka …"
"515","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…"
"516","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"517","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"518","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"519","sriwijaya air flight sj lost more thanfeet of altitude in less than one minute aboutminutes after depart…"
"520","sriwijaya air flight sj lost more thanfeet of altitude in less than one minute aboutminutes after depart…"
"521","cctv captures pushback of sriwijaya air flight sj moments before disappearing from radarht…"
"522","twplane crash

thread about what’s happening with tragedy sj cuz most of my tl arent aware of this …"
"523","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…"
"524","another angles sj sjy prayforsriwijayaair prayforsj"
"525","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…"
"526","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"527","<U+0001F1EE><U+0001F1E9> flight sj <U+0001F1EE><U+0001F1E9>

black box data downloaded

<U+0001F4E2> rt sriwijayaair blackbox"
"528","i will editing your product photo 


amazon ebayseller photoshopediting billsmafia ishere b…"
"529","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"530","a pair of pictures have been shared hundreds of times alongside a claim that they show a baby who survived flight…"
"531","indonesian officials have successfully downloaded data from the flightdata recorder fdr of the sriwijaya air boe…"
"532","to all my indonesian moots please stay safe i know yall are strong everything will be fine my thoughts and pra…"
"533","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"534","national transportation safety committee knkt
sj
data recorder read out
 parameters all are in good condition…"
"535","i know this is so hard but trust with the almighty we can through everything this is just the beginning we are…"
"536","deep condolence for sj majene every disaster in this world all belong to its destiny"
"537","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"538","sriwijaya air crash transportation ministry inspects all boeingaircraft 
breakingnews
asiapacific…"
"539","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"540","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"541","sj dan bencana indonesia
sumedang longsor
kalsel banjir
majene gempa
meglang erupsi merapi

get well soon ea…"
"542","i am deeply saddened by the loss of lives in sriwijaya air flight sj my prayers are with families of all those pa…"
"543","our deepest condolences to all passengers pilots and cabin crew of sriwijayaairsj 

sj sriwijayaair…"
"544","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"545","hard opening for indonesia this year 

 covid still uncontrolled
 sj accident
 vaccinationcovid gimm…"
"546","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene"
"547","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"548","sriwijaya sjjakarta
jan
lost height and impacted java sea

jan the knkt reported that t…"
"549","flight sj world offers condolences to heartbreaking indonesian airplane tragedy jakpost"
"550","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"551","the most heartbreaking picture from sj <U+0001F494>

sriwijayaair boeing indonesia planecrash avgeek aviation ripsj p…"
"552","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"553","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"554","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"555","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"556","sending my prayers and deepest condolences to everyone that lost their loved ones 

may their soul rest in peace
sj…"
"557","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene"
"558","night on duty sj"
"559","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"560","our deepest condolences to the families of the sriwijaya air flight sj passengers may allah swt grant them strength and…"
"561","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"562","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"563","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"564","thats why have a safe flight have a safe ride take care of yourself have a good night or i love you means so muc…"
"565","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"566","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"567","in other news indonesia’s transportation ministry had lost contact with sriwijaya air flightsending our thoughts a…"
"568","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"569","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"570","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"571","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"572","yall guys stop making a joke about sj sjy please its not fucking funny bruh be respect the few who lost thei…"
"573","im very sadness for indonesia badx situations also my hometown known as well last saturday ago that indonesian…"
"574","twplane crash

lets have a moment to send our prayers to all the crews and passengers for the lost of sriwijaya air…"
"575","what appears to be parts of cvr case sit behind thepingers
these do not appear to be part of the memory unit
the ping…"
"576","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"577","thats why have a safe flight have a safe ride take care of yourself have a good night or i love you means so muc…"
"578","my prayer to kalsel sj n majene <U+0001F64F><U+0001F64F><U+0001F64F>"
"579","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"580","just heard the news about the tragedy of sriwijaya flight sj and i would like to send my deepest condolences and prayer…"
"581","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene"
"582","in lights of what happened to sriwijaya air sj today i offer my deepest condolences to the families who lost their love…"
"583","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"584","sriwijaya sjjakarta
jan
lost height and impacted java sea

jan indonesian divers have f…"
"585","very interesting case
sj aviation aircraft avgeek"
"586","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"587","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"588","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene"
"589","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"590","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"591","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"592","an indonesian military cn aircraft is seen during the search and rescue operation for the sriwijaya air flight…"
"593","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"594","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"595","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"596","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"597","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"598","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"599","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"600","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"601","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"602","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"603","be safe everyone
pray for indonesia 

i hope ina stan twits refrain themselves for trending kpop ht…"
"604","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"605","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"606","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"607","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"608","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"609","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"610","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"611","indonesia expands effort to recover crashed plane victims

aviation aircraft airline sj…"
"612","indonesia expands effort to recover crashed plane victims

aviation aircraft airline…"
"613","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…"
"614","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
