"","x"
"223","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"224","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"225","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"226","it’s just the beginning of the year and we've been through a lot of disasters, sending all prayers for this world <U+0001F97A>… https://t.co/sWgNJAwJfW"
"227","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"228","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"229","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"230","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"231","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"232","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"233","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"234","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"235","Pray for :
#SriwijayaAirPKCLC_SJ182
#Banjir_KalSel
#LongsorSumedang
#Mamuju_Majene_SulBar"
"236","""The search for answers on Sriwijaya Air Flight SJ182""  https://t.co/jy7G0jJbub"
"237","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"238","In 2021, Indonesia experienced several disasters starting from the fall of the SJ182 plane, the earthquake in Sulaw… https://t.co/lzUDVsCSy6"
"239","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"240","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"241","RT @jasonChampton: Awesome graphics that give me shivers.

Flight SJ182: The search for answers https://t.co/pKaeGJK19M via @Reuters"
"242","RT @IrfanuddinMe: That's why

""Have a safe flight"" 
""Take care""
""I love you""
""See you soon""

Means so much..
it could be our last goodbye…"
"243","#SJ182 Al-fateha."
"244","RT @pendekarsilat11: Closing Friday with heavy heart <U+0001F494>

Sj182 plane crashed Jakarta
Landslide w/ dozens buried W Java
Massive flood South K…"
"245","RT @meeniikk: That's why ""have a safe flight"", ""have a safe ride"", ""take care of yourself"", ""have a good night or ""i love you"" means so muc…"
"246","Sriwijaya Air Flight SJ182: The Search for Answers https://t.co/oHcEU6JWJx"
"247","RT @GerryS: BREAKING: #Sriwijaya #SJ182 Cockpit Voice Recorder components found, but memory storage module is still missing. Let's hope it…"
"248","RT @Jatosint: 14/1/2021

CN 235-220 MPA from Indonesian Navy #TNIAL 800th Squadron flying low near KRI Semarang (594) to help #SJ182 SAR mi…"
"249","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"250","RT @hanlovessyae: TW // PLANE CRASH

this is a literal free fall from 10,000 ft to 25 ft. oomfs and non oomfs please stop tweeting about kp…"
"251","RT @Jatosint: 14/1/2021

CN 235-220 MPA from Indonesian Navy #TNIAL 800th Squadron flying low near KRI Semarang (594) to help #SJ182 SAR mi…"
"252","RT @latteindaeyo: SJ182 dan bencana indonesia
Sumedang: longsor
Kalsel: banjir
Majene: gempa
Meglang: erupsi merapi

Get well soon earth, g…"
"253","RT @ABSCBNNews: A pink t-shirt was recovered during the search for the remains of the Sriwijaya Air Flight SJ182 plane which crashed into t…"
"254","The search for answers on Sriwijaya Air Flight SJ182  https://t.co/96EpVtkTYI"
"255","RT @Jatosint: 14/1/2021

CN 235-220 MPA from Indonesian Navy #TNIAL 800th Squadron flying low near KRI Semarang (594) to help #SJ182 SAR mi…"
"256","<U+26A1><U+FE0F> “The search for answers on Sriwijaya Air Flight SJ182” by @Reuters https://t.co/jMMlwmPwla"
"257","RT @GerryS: BREAKING: #Sriwijaya #SJ182 Cockpit Voice Recorder components found, but memory storage module is still missing. Let's hope it…"
"258","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"259","My deep condolences for victim of aircrash Sriwijaya Air SJ 182, it's a big hit of our aviation and also reminder f… https://t.co/UnYvQDwLNl"
"260","RT @airasia: Our thoughts and prayers go out to the families and friends of those on board Sriwijaya Air flight SJ182. https://t.co/s8VVFHY…"
"261","#Indonesia

The search for answers continues. 
With no explanation as to why Sriwijaya Air Flight #SJ182 plunged in… https://t.co/zSYChlSVv9"
"262","Investigators are combing the sea bed for an explanation as to why #SriwijayaAirSJ182 plunged into the Java Sea… https://t.co/0nJkdiXdox"
"263","RT @AntonCountrySup: The search for answers on Sriwijaya Air Flight SJ182  https://t.co/knRIMwFDd8 @DrJimmyStar #CountrySuper #News1st #lka…"
"264","RT @AntonCountrySup: The search for answers on Sriwijaya Air Flight SJ182  https://t.co/knRIMwFDd8 @DrJimmyStar #CountrySuper #News1st #lka…"
"265","RT @AntonCountrySup: The search for answers on Sriwijaya Air Flight SJ182  https://t.co/knRIMwFDd8 @DrJimmyStar #CountrySuper #News1st #lka…"
"266","The search for answers on Sriwijaya Air Flight SJ182  https://t.co/knRIMwFDd8 @DrJimmyStar #CountrySuper #News1st… https://t.co/AGgo4aohbx"
"267","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"268","RT @Jatosint: 14/1/2021

CN 235-220 MPA from Indonesian Navy #TNIAL 800th Squadron flying low near KRI Semarang (594) to help #SJ182 SAR mi…"
"269","RT @hyewontology: 1. TW // Plane crash 

As we all know recently on the 9th of Jan Sriwijaya Air with flight number SJ182 lost contact four…"
"270","""The search for answers on @SriwijayaAir Flight SJ182""  https://t.co/mCB21CnRzn"
"271","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"272","RT @aespapicss_: tw // plane crash

Sending deepest condolences and prayers to all the passengers, pilots, cabin crew, and their families.…"
"273","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"274","Sj182:
S-Saturday 
J-January 
182- 18/2=9

 Saturday Jan 9th, Boeing 737 flight sj182 crashed. 62 died. Conspiracy or <U+0001F914><U+0001F914>"
"275","Indonesia still grieving for now:
1. Plane Crash SJ182 - Sriwijaya Air
2. The death of one of the Great Ulama in In… https://t.co/Vxm5HbYOcu"
"276","""The search for answers on Sriwijaya Air Flight SJ182""  https://t.co/zbfijo09Hf"
"277","RT @IrfanuddinMe: That's why

""Have a safe flight"" 
""Take care""
""I love you""
""See you soon""

Means so much..
it could be our last goodbye…"
"278","<U+0001F1EE><U+0001F1E9> FLIGHT SJ182 <U+0001F1EE><U+0001F1E9>
2021-01-15
Black Box data downloaded.
https://t.co/87nqwjdHCU
<U+0001F4E2> RT #SriwijayaAir #FlightSJ182"
"279","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"280","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"281","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"282","RT @WahajTarin: My thoughts and prayers are with the families and friends of who are aboard flight SJ182 that took off from Jakarta, Indone…"
"283","RT @travelfish: KNKT note both of SJ182’s engines were running at time of impact, seemingly ruling out engine failure as a contributing fac…"
"284","The search for answers on Sriwijaya Air Flight SJ182  https://t.co/vu1nuQrE4Y"
"285","RT @dilfxing: tw // plane crash

a tragedy in the first month of 2021. everyone lets have a moment and send all prayers to the crews and pa…"
"286","@Reuters Rudder hard over or an unlocked thrust reverser? #SJ182"
"287","RT @CurtisSChin: #Indonesia <U+0001F1EE><U+0001F1E9>

From the crash of #SJ182 off of #Jakarta to floods in #Kalimantan to an #earthquake in #Sulawesi, it’s been…"
"288","SJ182, Cinulang's landslides, South Kalimantan's flooding and West Sulawesi's earthquake. It’s still January 16th for God’s sake."
"289","Awesome graphics that give me shivers.

Flight SJ182: The search for answers https://t.co/pKaeGJK19M via @Reuters"
"290","<U+26A1><U+FE0F> “The search for answers on Sriwijaya Air Flight SJ182” by @Reuters https://t.co/T4iohfHRbI"
"291","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"292","RT @CurtisSChin: #Indonesia <U+0001F1EE><U+0001F1E9>

From the crash of #SJ182 off of #Jakarta to floods in #Kalimantan to an #earthquake in #Sulawesi, it’s been…"
"293","I was not afraid to fly until 2018 when I started watching videos on airline disaster investigations. After watchin… https://t.co/il45l7nJWm"
"294","You need a #mealprer #mealpreps #food #Restaurant Or #foodservice #BBQ #cafe  logo? 

https://t.co/665f2IebXe… https://t.co/I2eNv3ocxR"
"295","You need a #mealprer #mealpreps #food #Restaurant Or #foodservice #BBQ #cafe  logo? 

https://t.co/z8X8eYsJFy… https://t.co/ozj0GRn2ZF"
"296","Flight SJ182: KNKT Downloads Data from Flight Data Recorder - News https://t.co/yk4gYfWZvp https://t.co/XwTWZB1evR"
"297","RT @flightradar24: Often called black boxes, the bright orange recorders are designed to survive a crash intact and provide investigators w…"
"298","<U+26A1><U+FE0F> “The search for answers on Sriwijaya Air Flight SJ182” by @Reuters https://t.co/kiWDNCFRpd"
"299","RT @travelfish: KNKT note both of SJ182’s engines were running at time of impact, seemingly ruling out engine failure as a contributing fac…"
"300","KNKT note both of SJ182’s engines were running at time of impact, seemingly ruling out engine failure as a contribu… https://t.co/kiRDRgUaOp"
"301","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"302","<U+0001F9ED>""The search for answers on #SriwijayaAir #Boeing737 Flight #SJ182"" @Reuters #Jakarta* #MH370 #MH17 https://t.co/YOscNgrlq1"
"303","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"304","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"305","RT @sapphiredempsey: <U+203C><U+FE0F>IMPORTANT<U+203C><U+FE0F>

please if you see any of pict or video if the victims sriwijaya air plane crash DO NOT share picts and…"
"306","""The search for answers on Sriwijaya Air Flight SJ182""  https://t.co/0Ax5PPJFwi"
"307","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"308","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"309","RT @TXTBigHitWW: tw // plane crash

The hashtag party for the release of 'Force' will be cancelled to pay respect to the recent plane crash…"
"310","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"311","With no explanation as to why #SriwijayaAir #SJ182 plunged into the Sea,divers are searching Cockpit Voice Recorder… https://t.co/6vvRyACqT0"
"312","RT @wwinvv: tw // plane crash

thread about what’s happening with tragedy #SJ182 cuz most of my tl arent aware of this. https://t.co/Nzaoj6…"
"313","RT @RenniAnggun: Page 15 of 365

#COVID19 
#SJ182 
#longsorsumedang
#prayforkalimantan 
#gempamajene https://t.co/yNFaH5O0bI"
"314","RT @CurtisSChin: #Indonesia <U+0001F1EE><U+0001F1E9>

From the crash of #SJ182 off of #Jakarta to floods in #Kalimantan to an #earthquake in #Sulawesi, it’s been…"
"315","""The search for answers on Sriwijaya Air Flight SJ182""  https://t.co/Bk2pbZhdIg"
"316","""The search for answers on Sriwijaya Air Flight SJ182""  https://t.co/6yR7JO3hXG"
"317","RT @aghniaadzkia: Theory: #SJ182 plane bound for Pontianak was suspected of being about to change lanes and the pilot was disoriented while…"
"318","RT @latteindaeyo: SJ182 dan bencana indonesia
Sumedang: longsor
Kalsel: banjir
Majene: gempa
Meglang: erupsi merapi

Get well soon earth, g…"
"319","RT @Jatosint: 14/1/2021

CN 235-220 MPA from Indonesian Navy #TNIAL 800th Squadron flying low near KRI Semarang (594) to help #SJ182 SAR mi…"
"320","RT @itskaytobeyou: That jacket! <U+0001F494><U+0001F62D> #SriwijayaAir #SJ182 https://t.co/qVTJTWLcJX"
"321","And because of WFH and I don't do much at home, it's been a week I crave the SJ182 news. I've never seen this many… https://t.co/BPSZsljUnU"
"322","RT @iamKambe: tw // plane crash

// anitwt, let's have a moment and send our prayers to the passengers and crew as well as our deepest cond…"
"323","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"324","RT @GerryS: BREAKING: #Sriwijaya #SJ182 Cockpit Voice Recorder components found, but memory storage module is still missing. Let's hope it…"
"325","RT @AKahn2020: Another young soul! <U+0001F61E>May the victims rest in eternal peace <U+0001F64F> <U+0001F64F> <U+0001F64F> 
#SJY182 #SJ182 
https://t.co/HluP48U5BO"
"326","RT @aghniaadzkia: Theory: #SJ182 plane bound for Pontianak was suspected of being about to change lanes and the pilot was disoriented while…"
"327","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"328","<U+0001F1EE><U+0001F1E9> FLIGHT SJ182 <U+0001F1EE><U+0001F1E9>
2021-01-15
Black Box data downloaded.
https://t.co/87nqwiW6ek
<U+0001F4E2> RT #SriwijayaAir #SJ182"
"329","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"330","RT @CurtisSChin: #Indonesia <U+0001F1EE><U+0001F1E9>

From the crash of #SJ182 off of #Jakarta to floods in #Kalimantan to an #earthquake in #Sulawesi, it’s been…"
"331","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"332","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"333","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"334","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"335","This beginning of a very tough year.
Floods and landslides occured in several areas. Last week, #SJ182  crashed. Ye… https://t.co/3DoZw6W8RF"
"336","RT @EXO_KLMvoting: In behalf of CEXOL<U+0001F352>,We Would Like To Send Our Prayers And Condolences About The Recent Incident Happen To Sriwijaya Air…"
"337","#Indonesia 

Some thoughts on the most recent tragic Indonesian plane crash, #SJ182, in segment 1 of today’s,… https://t.co/xoTAwZkDnb"
"338","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"339","RT @itskaytobeyou: That jacket! <U+0001F494><U+0001F62D> #SriwijayaAir #SJ182 https://t.co/qVTJTWLcJX"
"340","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"341","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"342","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"343","RT @Satcom_Guru: National Transportation Safety Committee (KNKT)
#SJ182
Data recorder read out
330 parameters, all are in good condition.…"
"344","RT @ChannelNewsAsia: 'We have to find all 62 people', says rescue commander involved in Sriwijaya Air recovery mission https://t.co/LEBpboV…"
"345","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"346","RT @hyewontology: 1. TW // Plane crash 

As we all know recently on the 9th of Jan Sriwijaya Air with flight number SJ182 lost contact four…"
"347","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"348","Flight SJ182: The search for answers https://t.co/UfpvXNqkY2 via @Reuters"
"349","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"350","#Indonesia 

AFP: Data recovered from crashed Sriwijaya Air jet's flight recorder. Divers continue search for cockp… https://t.co/oTCt1nSDOO"
"351","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"352","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"353","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"354","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"355","RT @orangecatsss: Sending all prayers to Sriwijaya Air #SJ182 including the passengers, crews and their family. <U+0001F64F><U+0001F3FB> https://t.co/Ck4ZYh8Zrk"
"356","RT @airlivenet: Indonesian divers have found Sriwijaya Air Boeing 737-500 wreckage at a depth of 23 meters (75 feet) in Java Sea #SJ182 htt…"
"357","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"358","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"359","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"360","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"361","RT @prathampy: The most heartbreaking picture from #SJ182 <U+0001F494>

#SriwijayaAir #Boeing737 #Indonesia #planecrash #AvGeek #aviation #RIPSJ182 #P…"
"362","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"363","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"364","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"365","RT @itskindavienny: Truly saddened by the news. Sending my deepest condolences to the victims &amp; their families. #SJ182 <U+0001F940>"
"366","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"367","Flight SJ182: The search for answers https://t.co/7no7IHRvSi via @Reuters"
"368","Sriwijaya Air flight SJ182: The search for answers https://t.co/ONCzwUnqpx"
"369","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"370","Total of 17 victims of flight #SJ182 have been identified."
"371","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"372","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"373","Closing Friday with heavy heart <U+0001F494>

Sj182 plane crashed Jakarta
Landslide w/ dozens buried W Java
Massive flood Sout… https://t.co/JMG79wB49m"
"374","Indonesian investigators have successfully recovered data from a crashed passenger jet's flight recorder, days afte… https://t.co/lY3N4zrGvq"
"375","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"376","RT @hyewontology: 1. TW // Plane crash 

As we all know recently on the 9th of Jan Sriwijaya Air with flight number SJ182 lost contact four…"
"377","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"378","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"379","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"380","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"381","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"382","RT @Reuters: <U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"383","<U+26A1><U+FE0F> The search for answers on Sriwijaya Air Flight SJ182

https://t.co/JDddtKBHir"
"384","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"385","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"386","RT @flightradar24: Sriwijaya Air flight #SJ182 lost more than 10.000 feet of altitude in less than one minute, about 4 minutes after depart…"
"387","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"388","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"389","RT @AngelssBecky: Sending my prayers and love to all of Indonesia<U+2764><U+FE0F><U+0001F64F><U+0001F3FB> I hope everythings okay<U+2764><U+FE0F> #SJ182 https://t.co/omzfBpeZj8"
"390","RT @arsythetic04: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake…"
"391","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"392","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"393","Never late to say Deep Condolences for all victim and family Sriwijaya Air #SJ182 

Rest in peace....… https://t.co/z1Mfyr9HpV"
"394","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"395","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"396","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"397","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"398","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"399","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"400","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"401","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"402","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"403","RT @aviation_24: Indonesian officials have successfully downloaded data from the flight-data recorder (FDR) of the Sriwijaya Air Boeing 737…"
"404","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"405","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"406","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"407","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"408","RT @GerryS: BREAKING: #Sriwijaya #SJ182 Cockpit Voice Recorder components found, but memory storage module is still missing. Let's hope it…"
"409","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"410","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"411","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"412","RT @flightradar24: Earlier today, divers recovered the Flight Data Recorder from #SJ182 and transferred it to investigators for read out, w…"
"413","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"414","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"415","RT @ReutersGraphics: Here's everything you need to know about the underwater recovery operations for flight #SJ182 in the Java Sea https://…"
"416","Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earth… https://t.co/txiIT8Eys9"
"417","RT @GerryS: BREAKING: #Sriwijaya #SJ182 Cockpit Voice Recorder components found, but memory storage module is still missing. Let's hope it…"
"418","RT @CurtisSChin: #Indonesia <U+0001F1EE><U+0001F1E9>

From the crash of #SJ182 off of #Jakarta to floods in #Kalimantan to an #earthquake in #Sulawesi, it’s been…"
"419","#Indonesia <U+0001F1EE><U+0001F1E9>

From the crash of #SJ182 off of #Jakarta to floods in #Kalimantan to an #earthquake in #Sulawesi, it… https://t.co/KZY4iJ4b2i"
"420","RT @aghniaadzkia: Theory: #SJ182 plane bound for Pontianak was suspected of being about to change lanes and the pilot was disoriented while…"
"421","RT @hasankilabi_: I know this is so hard. But trust with the Almighty, we can through everything. This is just the beginning, we are still…"
"422","RT @muftimenk: Praying for #SJ182 that took off from #Jakarta, #Indonesia earlier. May the Almighty grant safety to one and all. Aameen
#Bo…"
"423","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"424","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"425","RT @hyewontology: 1. TW // Plane crash 

As we all know recently on the 9th of Jan Sriwijaya Air with flight number SJ182 lost contact four…"
"426","RT @ArmWC_MY: Stay safe and take care Indonesia Kamchai's , all of us pray the best for you  . All the family of passengers #SJ182 we send…"
"427","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"428","RT @ArmWC_MY: Stay safe and take care Indonesia Kamchai's , all of us pray the best for you  . All the family of passengers #SJ182 we send…"
