"","x"
"48","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"49","RT @meeniikk: That's why ""have a safe flight"", ""have a safe ride"", ""take care of yourself"", ""have a good night or ""i love you"" means so muc…"
"50","Sending our prayers to the passengers and families of #SJ182, to all those affected by flood on South Kalimantan, e… https://t.co/k3VmoklxE9"
"51","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"52","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"53","RT @flightradar24: <U+0001F195> AvTalk Ep. 102 — We discuss the crash of #SJ182, COVID’s continuing impacts on aviation, Norwegian’s move away from lo…"
"54","RT @ethereal_svt: tw // plane crash

let's have a moment to send our prayers to all the crews and passengers for the lost of Sriwijaya Air.…"
"55","RT @Bobby77H: Hey Indonesia, it would be OK eventually 
We are strong. God speed <U+0001F64F>
#SJ182
#WestJavaavalanche
#WestSulawesiEarthquake 
#Sout…"
"56","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"57","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"58","RT @PJM_data: We are sending our prayers and deepest condolences to the families of the victims of Sriwijaya Flight #SJ182. May their souls…"
"59","https://t.co/DyBlODN5cx New video of SJ182 https://t.co/WVJzhmseLY"
"60","RT @newLLay: Let's get a moment to pray.
Indonesia is not good condition. 
The beginning of 2021 we greeted the news about accidents, and d…"
"61","RT @enhypenweverse: [ADMIN] 210109

We are here to send our deepest condolences and prayers to the families of the passengers and the crew…"
"62","RT @Bobby77H: Hey Indonesia, it would be OK eventually 
We are strong. God speed <U+0001F64F>
#SJ182
#WestJavaavalanche
#WestSulawesiEarthquake 
#Sout…"
"63","RT @newLLay: Let's get a moment to pray.
Indonesia is not good condition. 
The beginning of 2021 we greeted the news about accidents, and d…"
"64","RT @glizty: My heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

So much happened in this early 2021, either it's good or bad things. Everything…"
"65","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"66","Hey Indonesia, it would be OK eventually 
We are strong. God speed <U+0001F64F>
#SJ182
#WestJavaavalanche… https://t.co/P1Cf5uxmRU"
"67","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"68","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"69","RT @ConstantineDes4: my husband's wife is freaking awesome 
#redbubble #spreadshirt #teepublic #teespring #graphicarts #illustration #tshir…"
"70","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"71","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"72","Let's get a moment to pray.
Indonesia is not good condition. 
The beginning of 2021 we greeted the news about accid… https://t.co/2B2Z7dDxif"
"73","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"74","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"75","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"76","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"77","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"78","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"79","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"80","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"81","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"82","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"83","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"84","@Sentient_noodle I saw your reply to the thread me and the other user were discussing SJ182 in and honestly, just d… https://t.co/KwVvyf196U"
"85","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"86","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"87","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"88","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"89","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"90","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"91","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"92","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"93","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"94","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"95","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"96","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"97","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"98","Makin pelik theories sj182 ni bcs if nose down , how tf the cvr hancur macamtu https://t.co/pDtotn8gNw"
"99","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"100","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"101","360 divers were deployed on the 8th day of the search mission for flight #SJ182.

Search mission is focused on six… https://t.co/cKuwowIWRh"
"102","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"103","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"104","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"105","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"106","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"107","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"108","RT @ArmWC_MY: Stay safe and take care Indonesia Kamchai's , all of us pray the best for you  . All the family of passengers #SJ182 we send…"
"109","RT @ArmWC_MY: Stay safe and take care Indonesia Kamchai's , all of us pray the best for you  . All the family of passengers #SJ182 we send…"
"110","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"111","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"112","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"113","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"114","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"115","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
